ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       2.97160,  -276.261E-03,       2.05863,      -2.12513
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.30652,   496.908E-03,       1.97739,      -1.07845
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.32072,   669.069E-03,       2.03403,  -894.874E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       2.55096,   217.393E-03,       2.05488,      -1.49586
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       2.84134,   458.863E-03,       2.41123,      -1.43130
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.84658,   142.404E-03,       1.46447,      -1.11576
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.82364,   436.878E-03,       1.65550,  -627.805E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.59875,   503.751E-03,       1.47685,  -348.067E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.97097,   160.640E-03,       1.57703,      -1.17128
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       2.35167,   403.381E-03,       2.07723,      -1.02604
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       1.92287,   209.412E-03,       1.81223,  -607.767E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       2.19019,   70.3389E-03,       1.86145,      -1.15194
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       2.67738,   144.836E-03,       2.02611,      -1.74421
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       1.45990,   217.240E-03,   457.526E-03,      -1.36923
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       1.36721,   401.293E-03,   404.560E-03,      -1.24280
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       1.41749,   422.404E-03,   440.385E-03,      -1.27942
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       1.43530,   327.396E-03,   445.096E-03,      -1.32468
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       1.52436,   387.612E-03,   512.869E-03,      -1.38217
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.01009,   272.944E-03,   96.9165E-03,  -967.676E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",   888.386E-03,   367.133E-03,   155.522E-03,  -793.887E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",   802.503E-03,   339.125E-03,   57.6851E-03,  -725.037E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.07599,   259.402E-03,   105.353E-03,      -1.03893
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       1.11518,   348.125E-03,   262.618E-03,      -1.02639
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",   839.082E-03,   117.149E-03,   289.098E-03,  -778.947E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       1.17353,   133.286E-03,   379.357E-03,      -1.10249
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     17: Step Time =   5.1088E-02,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       1.65678,   273.599E-03,   505.502E-03,      -1.55387
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1092,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       1.07343,   485.089E-03,  -227.494E-03,  -930.153E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1092,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       1.51389,  -348.386E-03,   22.7021E-03,      -1.47308
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1092,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       1.57365,  -563.437E-03,  -169.932E-03,      -1.45946
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1092,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       1.23270,  -59.0692E-03,  -189.920E-03,      -1.21654
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1092,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       1.30555,  -336.289E-03,  -537.787E-03,      -1.14112
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1092,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.10342,  -42.6229E-03,  -76.3336E-03,      -1.09995
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1092,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.08567,  -327.337E-03,  -182.077E-03,      -1.01901
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1092,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.11588,  -477.419E-03,  -463.364E-03,  -895.860E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1092,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.05439,  -98.5122E-03,  -444.415E-03,  -951.062E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1092,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       1.15115,  -329.420E-03,  -754.630E-03,  -804.470E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1092,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       1.19822,  -617.604E-03,  -47.8749E-03,      -1.02567
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1092,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       1.23493,  -321.190E-03,   3.17653E-03,      -1.19242
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     22: Step Time =   0.1092,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       1.41460,  -45.0079E-03,  -105.044E-03,      -1.40998
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       1.09199,   691.548E-03,  -581.901E-03,  -612.860E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       1.90086,  -952.064E-03,  -32.8497E-03,      -1.64492
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.15003,      -1.38196,  -419.504E-03,      -1.59274
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       1.29546,  -385.136E-03,  -478.584E-03,      -1.14055
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       1.78569,  -952.447E-03,      -1.15701,  -971.009E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.22370,  -296.457E-03,   10.4413E-03,      -1.18720
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.49226,  -891.045E-03,  -215.178E-03,      -1.17753
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.68093,      -1.16397,  -659.453E-03,      -1.01775
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.18646,  -409.700E-03,  -673.868E-03,  -886.419E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       1.75405,  -907.655E-03,      -1.35160,  -652.713E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       1.70750,      -1.20540,  -72.3905E-03,      -1.20719
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       1.43044,  -689.962E-03,  -74.2669E-03,      -1.25084
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     26: Step Time =   0.1655,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       1.39756,  -325.143E-03,  -386.094E-03,      -1.30322
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     29: Step Time =   0.2072,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       1.16970,   776.698E-03,  -723.428E-03,  -491.511E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     29: Step Time =   0.2072,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.20269,      -1.32310,   18.8824E-03,      -1.76093
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     29: Step Time =   0.2072,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.55587,      -1.87783,  -487.178E-03,      -1.66401
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     29: Step Time =   0.2072,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       1.39858,  -601.772E-03,  -573.489E-03,      -1.12472
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     29: Step Time =   0.2072,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       2.15283,      -1.34198,      -1.43301,  -883.306E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     29: Step Time =   0.2072,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.35661,  -469.531E-03,   120.793E-03,      -1.26702
C:/Users/ctkey/Desktop/Bulge2/S2_6N_LatSlide_Tether_Upgrade.odb,Load1,Increment     29: Step Time =   0.2072,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.78514,      -1.23588,  -164.292E-03,      -1.27763
